epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.7212,1.46752,1.37285,1.35472,0.71807,0.72396,0.72897,0.47878,1.13814,1.13858,1.2178,0.000661939,0.000661939,0.000661939
2,96.1029,1.56545,1.19955,1.40607,0.80641,0.8099,0.81709,0.53049,1.13857,1.7066,1.19895,0.00131545,0.00131545,0.00131545
3,132.067,1.58707,1.1802,1.39934,0.77454,0.72917,0.77655,0.48903,1.13881,2.0056,1.18057,0.00195577,0.00195577,0.00195577
4,165.747,1.53788,1.10852,1.38103,0.82749,0.78906,0.85408,0.57036,1.14205,1.48713,1.1722,0.0019406,0.0019406,0.0019406
5,207.846,1.51623,1.04898,1.37222,0.88437,0.82812,0.88346,0.6196,1.0621,0.75983,1.16272,0.0019208,0.0019208,0.0019208
6,242.076,1.5079,1.02663,1.3613,0.9208,0.84778,0.89674,0.61347,1.09287,0.72889,1.16387,0.001901,0.001901,0.001901
7,276.952,1.45097,0.955,1.32135,0.89604,0.86198,0.90354,0.61257,1.03771,0.7333,1.11995,0.0018812,0.0018812,0.0018812
8,315.549,1.453,0.94966,1.33159,0.84289,0.81033,0.86755,0.60821,1.03929,0.90235,1.12588,0.0018614,0.0018614,0.0018614
9,448.584,1.4676,0.97281,1.33368,0.91378,0.80208,0.87676,0.60215,1.11094,0.68296,1.14971,0.0018416,0.0018416,0.0018416
10,482.532,1.42559,0.94576,1.3178,0.9341,0.84906,0.91194,0.64675,0.9862,0.65719,1.11881,0.0018218,0.0018218,0.0018218
11,518.177,1.43238,0.90753,1.30853,0.93765,0.86151,0.90814,0.63934,0.98941,0.62219,1.12431,0.001802,0.001802,0.001802
12,551.847,1.41137,0.87547,1.29522,0.89504,0.86604,0.90309,0.64351,0.98188,0.67495,1.11009,0.0017822,0.0017822,0.0017822
13,585.5,1.39687,0.85676,1.29898,0.94868,0.8666,0.91682,0.66787,0.95199,0.60151,1.08451,0.0017624,0.0017624,0.0017624
14,623.391,1.37188,0.83919,1.27012,0.91092,0.85217,0.88604,0.64817,0.94694,0.66637,1.08438,0.0017426,0.0017426,0.0017426
15,658.173,1.36752,0.83051,1.28127,0.90514,0.85417,0.9058,0.6536,0.95983,0.62995,1.10976,0.0017228,0.0017228,0.0017228
16,694.992,1.36693,0.82587,1.27636,0.93452,0.89199,0.92686,0.63618,1.00846,0.6336,1.12814,0.001703,0.001703,0.001703
17,728.453,1.33987,0.80706,1.26725,0.9437,0.87301,0.91384,0.6715,0.92899,0.59352,1.06769,0.0016832,0.0016832,0.0016832
18,885.708,1.37128,0.81221,1.2557,0.91477,0.84115,0.88389,0.63772,0.96766,0.63857,1.10898,0.0016634,0.0016634,0.0016634
19,918.933,1.36177,0.80596,1.27172,0.89939,0.875,0.89904,0.64783,0.98374,0.62349,1.10863,0.0016436,0.0016436,0.0016436
20,952.73,1.31658,0.7944,1.24508,0.91433,0.86163,0.89578,0.64219,1.00429,0.61047,1.10125,0.0016238,0.0016238,0.0016238
21,985.949,1.31974,0.78139,1.24902,0.92139,0.88021,0.9228,0.65899,0.92549,0.60059,1.08092,0.001604,0.001604,0.001604
22,1019.21,1.31566,0.77143,1.23938,0.90221,0.86497,0.89474,0.6473,0.93556,0.56795,1.09356,0.0015842,0.0015842,0.0015842
23,1054.33,1.33694,0.76251,1.25099,0.92242,0.8724,0.90873,0.65243,0.96457,0.59985,1.10449,0.0015644,0.0015644,0.0015644
24,1087.9,1.30607,0.75794,1.23482,0.91385,0.8776,0.89617,0.65992,0.90749,0.57428,1.07109,0.0015446,0.0015446,0.0015446
25,1121.26,1.2899,0.74535,1.23614,0.93538,0.86702,0.91381,0.67872,0.87619,0.54887,1.06614,0.0015248,0.0015248,0.0015248
26,1154.9,1.29102,0.74961,1.22849,0.89217,0.90492,0.9129,0.67004,0.89816,0.56665,1.07442,0.001505,0.001505,0.001505
27,1188.29,1.28092,0.73165,1.22781,0.91272,0.85938,0.88809,0.65083,0.94148,0.57949,1.0904,0.0014852,0.0014852,0.0014852
